date,"('ICLN', 'ICLN')","('XLE', 'XLE')","('VIX', '^VIX')","('Brent', 'BZ=F')","('SP500', '^GSPC')",dgs10,carbon_eua,"('ICLN', 'ICLN')_ret","('XLE', 'XLE')_ret","('Brent', 'BZ=F')_ret",carbon_eua_ret,"('SP500', '^GSPC')_ret",dgs10_diff,carbon_shock_resid,carbon_shock
2020-08-03,13.995646476745604,29.79872131347656,24.280000686645508,44.150001525878906,3294.610107421875,0.56,27.08,0.0240147938670972,0.0036013434344551,0.0194403442226168,-0.0051565491792458,0.0071553626643586,0.01,-0.007228068181160709,0
2020-08-04,14.422632217407228,30.52391815185547,23.76000022888184,44.43000030517578,3306.510009765625,0.52,27.75,0.030052339238572,0.0240450943410475,0.0063219622052924,0.0244403921483693,0.0036054230261335,-0.04,0.022894798024516858,0
2020-08-05,14.792685508728027,30.845308303833008,22.989999771118164,45.16999816894531,3327.77001953125,0.55,27.69,0.0253341816715398,0.01047407988484,0.016518185313043,-0.002164503009573,0.0064091604355179,0.03,0.00040057850038772514,0
2020-08-06,14.849617004394531,30.598085403442383,22.64999961853028,45.09000015258789,3349.159912109375,0.55,27.3,0.003841237747561,-0.0080472193870024,-0.0017726133124807,-0.0141846349919564,0.0064071260206648,0.0,-0.016244597210163615,0
2020-08-07,15.06785488128662,30.6392879486084,22.209999084472656,44.400001525878906,3351.280029296875,0.57,27.32,0.0145895848964457,0.0013456668412824,-0.0154209920122461,0.0007323325116752,0.0006328292699566,0.0199999999999999,0.0012792195184028947,0
2020-08-10,15.124785423278809,31.58696937561035,22.1299991607666,44.9900016784668,3360.469970703125,0.59,27.6,0.0037711580629139,0.0304615686899804,0.0132007763558124,0.010196738020515,0.0027384652733919,0.02,0.007797758810581557,0
2020-08-11,14.878085136413574,31.47984504699707,24.030000686645508,44.5,3333.68994140625,0.64,27.08,-0.0164454828705387,-0.0033971727482637,-0.0109510909884384,-0.0190203246790302,-0.0080010554013772,0.05,-0.01933571544994148,0
2020-08-12,15.134275436401367,31.79299736022949,22.280000686645508,45.43000030517578,3380.35009765625,0.69,26.87,0.0170727338931475,0.0098985554699106,0.020683497316612,-0.0077850254166743,0.0138995022936135,0.0499999999999999,-0.007579983975085736,0
2020-08-13,15.39046573638916,31.1749324798584,22.1299991607666,44.959999084472656,3373.429931640625,0.71,26.3,0.0167861417181725,-0.0196317310175976,-0.0103995012665238,-0.0214414834436809,-0.0020492726761566,0.02,-0.022359354085528572,0
2020-08-14,15.276603698730469,31.471609115600582,22.049999237060547,44.79999923706055,3372.85009765625,0.71,26.36,-0.007425721659378,0.0094715157797583,-0.0035650628312419,0.0022787704505876,-0.000171897396279,0.0,-0.00011685371315935545,0
